Question,Options
在下列哪个部位可闻及支气管呼吸音属于病理性呼吸音,"A 喉部
B 胸骨上窝
C 背部第六七颈椎附近
D 背部第一二胸椎附近
E 右下肺"
患者咳嗽。查体：气管向左偏移，右侧胸廓较左侧饱满，叩诊出现鼓音。应首先考虑的是,"A 右侧气胸
B 左侧肺不张
C 右下肺炎
D 肺气肿
E 右侧胸腔积液"
方颅可见于,"A 呆小症
B 先天性梅毒
C 脑膜炎
D 脑积水
E 小儿营养不良"
患者心悸，气短1年，劳累后加重。检查：脉搏80次／分，节律不规整，心率约110次／分，心律完全不规则，心音强弱绝对不一致。此患者心律失常的类型是,"A 窦性心律不齐
B 窦性心动过速
C 过早搏动
D 心房纤维颤动
E 室上性心动过速"
心脏杂音较局限不传导的器质性病变是,"A 二尖瓣关闭不全
B 二尖瓣狭窄
C 主动脉瓣狭窄
D 肺动脉瓣狭窄
E 主动脉瓣关闭不全"
出现呼吸音增强的疾病是,"A 重症肌无力
B 贫血
C 胸膜炎
D 膈肌瘫痪
E 急性弥漫性腹膜炎"
患者腹部出现由左肋下向右进行的较强蠕动波，见于下列何种病变,"A 胃下垂
B 胃扩张
C 幽门梗阻
D 胃癌
E 急性胃炎"
肺气肿时，肺部叩诊音应是,"A 清音
B 过清音
C 浊音
D 鼓音
E 实音"
心绞痛患者采取的体位,"A 强迫坐位
B 辗转体位
C 强迫蹲位
D 强迫停立位
E 强迫侧卧位"
患者胸骨下部显著前突，左、右胸廓塌陷，肋骨与肋软骨交界处变厚增大，上下相连呈串珠状。其诊断是,"A 肺结核
B 佝偻病
C 肺气肿
D 支气管哮喘
E 肺纤维化"
腹痛伴有呕吐，腹胀，停止排便排气的疾病是,"A 肠梗阻
B 急性菌痢
C 急性胆囊炎
D 结核性腹膜炎
E 急性腹腔内出血"
正常人两上肢血压的差别一般是,"A 5～10mmHg
B 11～15mmHg
C 16～20mmHg
D 21～25mmHg
E 26～30mmHg"
胸骨左缘第2肋间闻及收缩期杂音，应考虑为,"A 主动脉瓣狭窄
B 肺动脉瓣狭窄
C 二尖瓣狭窄
D 三尖瓣狭窄
E 房间隔缺损"
气管向患侧移位，可见于,"A 胸腔积液
B 气胸
C 肺气肿
D 肺不张
E 肺实变"
空腹听诊出现震水音，可见于,"A 肝硬化腹水
B 肾病综合征
C 结核性腹膜炎
D 幽门梗阻
E 急性肠炎"
心包摩擦音和胸膜摩擦音的鉴别要点是,"A 有无心脏病史
B 呼吸是否增快
C 改变体位后摩擦音是否消失
D 屏住呼吸后摩擦音是否消失
E 咳嗽后摩擦音是否消失"
心包摩擦音通常在什么部位听诊最清楚,"A 心尖部
B 心底部
C 胸骨左缘第三、四肋间
D 胸骨右缘第三、四肋间
E 左侧腋前线三、四肋间"
支气管肺泡呼吸音分布于,"A 左锁骨上窝
B 右锁骨上窝
C 胸骨角周围
D 胸骨上窝
E 肩胛间区"
正常人呼吸与脉搏之比为,"A 1:1
B 1:2
C 1:3
D 1:4
E 1：5"
下列可引起姿势性脊柱侧凸的是,"A 佝偻病
B 先天性斜颈
C 胸膜肥厚
D —侧腰肌瘫痪
E 儿童发育期坐或立姿势不良"
主动脉瓣关闭不全，多表现为,"A 脉搏短绌
B 水冲脉
C 奇脉
D 颈静脉搏动
E 交替脉"
下列不符合房颤听诊特点的是,"A 心律完全不规则
B 脉搏短绌
C 心音强弱绝对不一致
D 常可闻及心脏杂音
E 心率快慢不一"
病理性双侧瞳孔缩小，可见于,"A 有机磷中毒
B 青光眼
C 视神经萎缩
D 脑肿瘤
E 脑疝"
大量腹腔积液呼吸形式是,"A 叹息式呼吸
B 长吸式呼吸
C 胸式呼吸
D 腹式呼吸
E 混合式呼吸"
肠套叠可见腹痛，并伴有,"A 急性发热
B 黄疸
C 呕吐
D 腹泻
E 血便"
腓总神经麻痹可出现的是,"A 剪刀步态
B 醉酒步态
C 慌张步态
D 跨阈步态
E 蹒跚步态"
过清音见于,"A 叩击富有弹性、含气量正常的肺组织所从产生的音响
B 叩击含有大量气体的空腔脏器时出现
C 叩击含气量增多、弹性减退的肺组织时
D 出现叩击不含气的实质性脏器时出现
E 叩击各种原因所致含气减少的肺组织时出现"
可闻及病理性支气管呼吸音的部位是,"A 肩胛下区
B 喉部
C 胸骨上窝
D 背部第六颈椎附近
E 以上均非"
患者反复呕吐隔餐食物。查体：消瘦，上腹部膨胀，并见胃型。应首先考虑的是,"A 肝炎
B 肝硬化
C 胃炎
D 幽门梗阻
E 胆囊炎"
正常肺泡呼吸音的最明显听诊部位在,"A 喉部
B 肩胛下部
C 胸骨角附近
D 右肺尖
E 肩胛上部"
幽门梗阻可出现的是,"A 麦氏点压痛阳性
B 墨菲征阳性
C 液波震颤阳性
D 振水音阳性
E 移动性浊音阳性"
下列除哪项外，均可见于匙状指,"A 高原疾病
B B缺铁性贫血
C 风湿热
D 甲癣
E 尺神经损伤"
心室收缩时颈静脉有搏动，可见于,"A 高血压病
B 严重贫血
C 三尖瓣关闭不全
D 主动脉瓣关闭不全
E 甲状腺功能亢进症."
仰卧位时前腹壁与胸骨下端到耻骨联合的连线大致在同一水平面上，称为,"A 腹部平坦
B 腹部饱满
C 腹部膨隆
D 腹部低平
E 腹部凹陷"
下列哪项不属于神经反射的深反射,"A 肱二头肌反射
B 肱三头肌反射
C 膝腱反射
D 腹壁反射
E 跟腱反射"
下列不属锥体束病变时的病理反射的是,"A 巴宾斯基征
B 查多克征
C 戈登征
D 拉塞格征
E 奥本海姆征"
患者3年来经常心悸，气短。检查：心尖搏动稍向左下移位，心浊音界稍向左下扩大，心尖部听诊可闻及3／6级以上粗糙的收缩期吹风样杂音及舒张期隆隆样杂音。应首先考虑的是,"A 单纯二尖瓣狭窄
B 单纯二尖瓣关闭不全
C 二尖瓣狭窄及二尖瓣关闭不全
D 主动脉瓣狭窄
E 主动脉瓣关闭不全"
"两侧瞳孔大小不等,多见于","A 有机磷农药中毒
B 阿托品类药物影响
C 吗啡药物影响
D 濒死状态
E 脑肿瘤"
容易闻及二尖瓣杂音的体位是,"A 坐位
B 立位
C 平卧位
D 右侧卧位
E 左侧卧位"
导致脉压增大的疾病是,"A 主动脉瓣狭窄
B 心力衰竭
C 低血压
D 主动脉瓣关闭不全
E 缩窄性心包炎"
左侧卧位听诊更明显的是,"A 二尖瓣狭窄舒张中晚期隆隆样杂音
B 二尖瓣关闭不全收缩期吹风样杂音
C 主动脉狭窄收缩期吹风样杂音
D 主动脉瓣关闭不全舒张期叹气样杂音
E 胸骨左缘第2肋间机器声样连续性杂音"
阿托品中毒的瞳孔变化是,"A 瞳孔扩大
B 瞳孔缩小
C 瞳孔呈白色
D 两瞳孔大小不等
E 瞳孔形状不规则"
巨幼细胞贫血可见的是,"A 镰形红细胞
B 球形红细胞
C 红细胞大小不均匀
D 泪滴形红细胞
E 靶形红细胞"
下列哪项不是深反射检查,"A 肱二头肌反射检查
B 膝腱反射检查
C 提睾反射检查
D 跟腱反射检查
E 桡骨骨膜反射检查"
下列各项，可出现双侧瞳孔散大的是,"A 阿托品影响
B 氯丙嗪影响
C 有机磷农药中毒
D 毒蕈中毒
E 毛果云香碱中毒"
"在胸骨左缘第三、四肋间触及收缩期震颤,应考虑为","A 主动脉瓣关闭不全
B 室间隔缺损
C 二尖瓣狭窄
D 三尖瓣狭窄
E 肺动脉瓣狭窄"
中枢性瘫痪的特点是,"A 肌张力降低
B 腱反射减弱
C 浅反射消失
D 不出现病理反射
E 肌张力增强"
颈动脉搏动，多见于,"A 二尖瓣关闭不全
B 主动脉瓣关闭不全
C 三尖瓣关闭不全
D 肺动脉瓣关闭不全
E 二尖瓣狭窄"
Ⅲ度扁桃体肿大的定义为,"A 肿大的扁桃体不超过咽腭弓
B 肿大的扁桃体不超过悬壅垂
C 肿大的扁桃体不超过咽后壁中线
D 肿大的扁桃体超过咽腭弓但不到咽后壁中线
E 肿大的扁桃体达到或超过咽后壁中线"
对脾大与腹腔肿块的鉴别，最有意义的是,"A 质地
B 活动度
C 有无压痛
D 有无切迹
E 叩诊音的差异"
肺气肿患者心浊音界改变的特点是,"A 向左下扩大
B 向右扩大
C 向左右两侧扩大
D 缩小
E 不变"
类风湿关节炎，常表现为,"A 指关节梭状畸形
B 杵状指
C 匙状甲
D 浮髌现象
E 肢端肥大"
心电图表现为ST段压低（≥0.1mv），应诊断为,"A 房颤
B 变异型心绞痛
C 早搏
D 心绞痛
E 室性心动过速"
下列疾病，立位X线透视可见膈下游离气体影的是,"A 急性胃穿孔
B 肠梗阻
C 肠套叠
D 肝破裂
E 结肠肿瘤"
下列各项对诊断伤寒最有意义的是,"A 稽留热
B 血细菌培养阳性
C 脾大
D 肝大
E 相对缓脉"
下列各项，最易发生代谢性碱中毒的是,"A 慢性肾功能不全
B 休克
C 肠瘘
D 幽门梗阻
E 急性肾功能不全"
下列关于胸肺部X线检查临床应用的叙述，错误的是,"A 诊断呼吸系统疾病
B 检测呼吸功能
C 防癌
D 防痨
E 防职业病"
反映左、右心房电激动过程的是,"A P波
B P-R段
C QRS波群
D ST段
E T波"
Rv5+Svl>4.0mV，可诊断为,"A 左室高电压
B 左室劳损
C 右室肥大
D 双室肥大
E 左室肥大劳损"
Rv5>2.5mV，STv5下移>0.05mV，Tv5倒置，电轴－22°，可诊断为,"A 左室高电压
B 左室劳损
C 右室肥大
D 双室肥大
E 左室肥大劳损"
对腹部实质性脏器病变，最简便易行的检查方法是,"A X线摄片
B CT扫描
C 同位素扫描
D B型超声波检查
E 纤维内镜检查"
右房肥大的心电图表现为,"A P波尖而高耸
B P波低平
C P波呈双峰状
D P波增宽
E P波出现切迹"
代表心室除极和复极总时间的是,"A P波
B QRS波群
C S-T段
D T波
E Q-T间期"
(V6)导联，可以确定梗死的部位是,"A 前间壁
B 前壁
C 侧壁
D 下壁(膈面）
E 正后壁"
某肺叶发生肺不张时，典型的X线表现是,"A 中等密度，边界不清的云絮状阴影
B 密度增高，边缘清楚，呈散在小花朵状阴影
C 密度增高，边缘锐利的粗乱的线条状阴影
D 斑点状或小块状密度甚高的缴密阴影
E 三角形密度均匀增高的片状阴影"
下列除哪项外，均可选择胸部X线检查进行鉴别,"A 胸腔积液是血性或脓性
B 大叶性肺炎或支气管肺炎
C 气胸或肺大泡
D 肺不张或肺实变
E 肺脓肿或肺肿瘤"
对二尖瓣狭窄程度的判定最有价值的检查是,"A 听诊
B 胸部X线摄影
C 心电图检查
D 胸部CT扫描
E 二维超声心动图检查"
心肌损伤的心电图改变是,"A ST段下移
B ST段明显上抬，呈弓背向上的单向曲线
C T波高耸
D T波倒置
E 异常深而宽的Q波"
心肌坏死的心电图改变是,"A ST段下移
B ST段明显上抬，呈弓背向上的单向曲线
C T波高耸
D T波倒置
E 异常深而宽的Q波"
对临床疑诊自发性气胸病人，应首选的检查方法是,"A B型超声波
B 胸部CT
C 胸部X线
D 磁共振成象
E 纤维支气管镜"
肾衰竭失代偿期Ccr值为,"A 120-80ml/min
B ＜10ml/min
C 19-10ml/min
D 50-20ml/min
E 80-51ml/min"
提示急性肾盂肾炎的尿液检查结果是,"A 透明管型
B 颗粒管型
C 白细胞管型
D 脂肪管型
E 蜡样管型"
关于碱性磷酸酶测定的临床意义错误的是,"A 阻塞性黄疸患者LP明显增高
B 肝细胞性黄疸ALP轻度增高
C 肝内局限性胆道阻塞ALP明显增高
D 骨骼疾病时ALP不增高
E 肝内胆汁淤积ALP明显升高"
血白细胞总数增多，可见于,"A 再生障碍性贫血
B 急性大出血
C 使用氯霉素的影响
D 脾功能亢进
E 伤寒杆菌感染"
心功能不全肺淤血时，在痰中出现的是,"A 白细胞
B 夏科—雷登结晶体
C 上皮细胞
D 色素细胞
E 枯什曼螺旋体"
主要见于肾盂肾炎的管型是,"A 红细胞管型
B 白细胞管型
C 上皮细胞管型
D 透明管型
E 蜡样管型"
上消化道出血时可见,"A 水样便
B 米泔样便
C 鲜血便
D 柏油样便
E 灰白色便"
心功能不全肺瘀血时，在痰中出现的是,"A 白细胞
B 夏科—雷登结晶体
C 上皮细胞
D 色素细胞
E 杜什曼螺旋体"
正常血清总蛋白含量,"A 80～100g/L
B 45～55g/L
C 60～80g/L
D 20～30g/L
E 40～50g/L"
提示肾小管病变严重、预后不良的尿液检查结果是,"A 透明管型
B 颗粒管型
C 白细胞管型
D 脂肪管型
E 蜡样管型"
下列关于内生肌酐清除率的叙述，正确的是,"A 肾功能严重损害时，开始升高
B 高于80ml/分提示预后不良
C 肾功能损害愈重，其清除率愈低
D 肾功能损害愈重，其清除率愈高
E 其测定与肾功能损害程度无关"
下列关于甲状腺功能亢进症的叙述，正确的是,"A T3、T4均增高时，才能诊断
B T4、T3均降低时，才能诊断
C 仅有T3增高也可诊断
D T3增高时，T4则降低
E 以上均非"
血清总胆红素、结合胆红素、非结合胆红素均中度增加，可见于,"A 蚕豆病
B 胆石症
C 珠蛋白生成障碍性贫血
D 急性黄疸性肝炎
E 胰头癌"
成人血清钠的正常值是,"A 110～120mmol/L
B 121～130mmol/L
C 135～145mmol/L
D 150～155mmol/L
E 156～160mmol/L"
正常人尿中可以偶见的管型是,"A 红细胞管型
B 白细胞管型
C 上皮细胞管型
D 透明管型
E 蜡样管型"
对诊断急性胰腺炎最有价值的血清酶检查是,"A 谷草转氨酶
B 淀粉酶
C 碱性磷酸酶
D 谷丙转氨酶
E 乳酸脱氢酶"
尿沉渣镜检每高倍视野多少个白细胞即视为异常,"A >3个
B >1个
C >5个
D >8个
E >10个"
下列可引起中性粒细胞病理性增多的是,"A 麻疹
B 急性溶血
C 恶性组织细胞病
D 系统性红斑狼疮
E 脾功能亢进"
下列哪种病变通常不出现蛋白尿,"A 化脓性扁桃体炎引起的高热
B 高血压病(3级)
C 妊娠中毒症
D 缺血性心脏病(心绞痛发作时)
E 慢性右心功能不全"
天门冬氨酸氨基转移酶（AST）的正常参考值为,"A ＜10U/L
B ＜20U/L
C ＜30U/L
D ＜40U/L
E ＜50U/L"
引起病理性血糖升高的原因不包括下列哪种疾病,"A 甲状腺功能亢进症
B 嗜铬细胞瘤
C 糖尿病
D 肾上腺皮质功能亢进症
E 胰岛细胞瘤"
患者，男，55岁。劳累及情绪激动后，多次出现短时间胸骨后疼痛，下列哪项血清检查对明确诊断最有参考意义,"A 钾
B 钠
C 氯化物
D 钙
E 胆固醇及甘油三脂"
病理性蛋白尿，可见于,"A 剧烈活动后
B 严重受寒
C 直立性蛋白尿
D 妊娠中毒
E 以上均非"
血白细胞总数增多，可见于,"A 伤寒杆菌感染
B 再生障碍性贫血
C 急性失血
D 使用氯霉素的影响
E 脾功能亢进"
下列情况，不出现尿酮体阳性的是,"A 饥饿状态
B 暴饮暴食
C 妊娠剧烈呕吐
D 糖尿病酮症酸中毒
E 厌食症"
骨髓细胞内出现Auer小体常见于,"A 急性淋巴细胞白血病
B 急性粒细胞白血病
C 慢性粒细胞白血病
D 溶血性贫血
E 系统性红斑狼疮"
对诊断心肌梗死最有意义的是,"A 淀粉酶
B 血清转氨酶
C 谷氨酰基转肽酶
D 血清碱性磷酸酶
E 肌酸磷酸激酶"
